number,semester,year,level,preprocessed_title,preprocessed_description,instructors,preprocessed_department_name,preprocessed_topics
2.61,Spring,2017.0,Graduate,internal combustion engine,course study fundamental design operation internal combustion engine affect performance efficiency fuel requirement environmental impact topic include fluid flow thermodynamics combustion heat transfer friction phenomenon fuel property reference engine power efficiency emission student examine design feature operating characteristic different type internal combustion engine sparkignition diesel stratifiedcharge mixedcycle engine class includes lab project engine laboratory,Prof. Wai Cheng,mechanical engineering,"engineering, science, physic, mechanical engineering, energy, transport process, thermodynamics, chemical engineering, fossil fuel, combustion, transportation"
2.96,Fall,2012.0,Undergraduate,management engineering,course give overview engineering management cover topic financial principle management innovation technology strategy best management practice focus course development individual skill team work carried exposure management tool,"Prof. Jung-Hoon Chun, Prof. Henry S. Marcus, Dr. Abbott Weiss","mechanical engineering, electrical engineering computer science, chemical engineering, aeronautics astronautics","entrepreneurship, business, project management"
3.051J,Spring,2006.0,Undergraduate,material biomedical application,class provides introduction interaction cell surface biomaterials course cover surface chemistry physic selected metal polymer ceramic surface characterization methodology modification biomaterials surface quantitative assay cell behavior culture biosensors microarrays bulk property implant acute chronic response implanted biomaterials general topic include biosensors drug delivery tissue engineering,Prof. Anne Mayes,"material science engineering, biological engineering","engineering, biological engineering, material science engineering, cell tissue engineering, biomaterials"
3.35,Fall,2003.0,Graduate,fracture fatigue,investigation linear elastic elasticplastic fracture mechanic topic include microstructural effect fracture metal ceramic polymer thin film biological material composite toughening mechanism crack growth resistance creep fracture also covered interface fracture mechanic fatigue damage dislocation substructure single crystal stress strainlife approach fatigue fatigue crack growth model mechanism variable amplitude fatigue corrosion fatigue case study fracture fatigue structural bioimplant microelectronic component,Prof. Subra Suresh,material science engineering,"engineering, mechanical engineering, material science engineering, solid mechanic"
6.033,Spring,2018.0,Undergraduate,computer system engineering,class cover topic engineering computer software hardware system topic include technique controlling complexity strong modularity using clientserver design operating system performance network naming security privacy faulttolerant system atomicity coordination concurrent activity recovery impact computer system society,Dr. Katrina LaCurts,electrical engineering computer science,"engineering, computer science, software design engineering, computer network, computer design engineering, operating system"
MAS.160,Fall,2007.0,Undergraduate,signal system information medium technology,class teach fundamental signal information theory emphasis modeling audiovisual message physiologically derived signal human source recipient topic include linear system difference equation ztransforms sampling sampling rate conversion convolution filtering modulation fourier analysis entropy noise shannon fundamental theorem additional topic may include data compression filter design feature detection undergraduate subject mas160 meet two halfsemester graduate subject mas510 mas511 assignment differ,"Dr. V. Michael Bove, Prof. Rosalind W. Picard, Dr. Quinn Smithwick",medium art science,"engineering, system engineering, electrical engineering, medium study, fine art, signal processing, computational modeling simulation, telecommunication"
6.012,Fall,2009.0,Undergraduate,microelectronic device circuit,6012 header course department device circuit system concentration topic covered include modeling microelectronic device basic microelectronic circuit analysis design physical electronics semiconductor junction mo device relation electrical behavior internal physical process development circuit model understanding us limitation various model course us incremental largesignal technique analyze design bipolar field effect transistor circuit example chosen digital circuit singleended differential linear amplifier integrated circuit,Prof. Clifton Fonstad,electrical engineering computer science,"engineering, computer science, electronics, electrical engineering, computer design engineering"
18.01,Fall,2006.0,Undergraduate,single variable calculus,introductory calculus course cover differentiation integration function one variable application,Prof. David Jerison,mathematics,"mathematics, differential equation, calculus"
21H.181,Spring,2014.0,Undergraduate,libertarianism history,course explores history ideal personal freedom eye towards contemporary debate pro con regulatory state first part course survey sociological theological source concept freedom civil society introduces liberty leading relative competitor property equality community republicanism second part consists series case study rise modern liberty libertarianism abolition slavery struggle religious freedom twentiethcentury american civil liberty movement last part course take debate role libertarianism v regulatory state variety context counterterrorism health care financial market internet,Prof. Malick Ghachem,history,"humanity, history, social science, political science, american history, american politics"
STS.003,Fall,2010.0,Undergraduate,rise modern science,subject introduces history science antiquity present student consider impact philosophy art magic social structure folk knowledge development come called science western tradition including field today designated physic biology chemistry medicine astronomy mind science topic include concept matter nature motion body heaven mind shaped course history student read original work aristotle vesalius newton lavoisier darwin freud einstein among others,"Prof. David Jones, Prof. David Kaiser",science technology society,"humanity, history, social science, public administration, history science technology, science technology policy"
8.03SC,Fall,2016.0,Undergraduate,physic iii vibration wave,vibration wave everywhere take system disturb stable equilibrium resultant motion wave vibration think guitar stringpluck string vibrates sound wave generated make way ear hear string sound eye see whats happening receive electromagnetic wave light reflected guitar string recognize beautiful sinusoidal wave string fact without vibration wave could recognize universe around u click get startedimagesbutton_startpngpagessyllabus amazing thing describe many fascinating phenomenon arising different physical system mathematics course provide concept mathematical tool necessary understand explain broad range vibration wave learn wave come many interconnected coupled object vibrating together discus many phenomenon along related topic including mechanical vibration wave sound wave electromagnetic wave optic gravitational wave,Prof. Yen-Jie Lee,physic,"science, physic, atomic molecular optical physic, classical mechanic, electromagnetism"
12.003,Fall,2008.0,Undergraduate,atmosphere ocean climate dynamic,undergraduate class designed introduce student physic govern circulation ocean atmosphere focus course process control climate planet acknowledgment prof ferrari wish acknowledge course originally designed taught prof john marshall,Prof. Raffaele Ferrari,earth atmospheric planetary science,"engineering, science, earth science, environmental science, oceanography, hydrodynamics, climate study, atmospheric science, geophysics, ocean engineering"
12.425,Fall,2007.0,Undergraduate,extrasolar planet physic detection technique,course cover basic principle planet atmosphere interior applied study extrasolar planet exoplanets focus fundamental physical process related observable exoplanet property also provide quantitative overview detection technique introduction feasibility search earthlike planet biosignatures habitable condition exoplanets,Prof. Sara Seager,earth atmospheric planetary science,"science, physic, earth science, atmospheric science, geophysics, astrophysics, planetary science"
6.092,January IAP,2010.0,Undergraduate,introduction programming java,course introduction software engineering using java programming language cover concept useful 6005 student learn fundamental java focus developing high quality working software solves real problem course designed student programming experience none motivated fine student taken 6005 take course class composed one hour lecture one hour assisted lab work course offered independent activity period iap special 4week term mit run first week january end month,"Evan Jones, Adam Marcus, Eugene Wu",electrical engineering computer science,"engineering, computer science, software design engineering, programming language"
18.700,Fall,2013.0,Undergraduate,linear algebra,course offer rigorous treatment linear algebra including vector space system linear equation base linear independence matrix determinant eigenvalue inner product quadratic form canonical form matrix compared _1806 linear algebra_courses1806sclinearalgebrafall2011 emphasis placed theory proof,David Vogan,mathematics,"mathematics, linear algebra"
MAS.965,Fall,2008.0,Undergraduate,nextlab designing mobile technology next billion user,make cellphone change world nextlab handson yearlong design course student research develop deploy mobile technology next billion mobile user developing country guided realworld need observed local partner student work multidisciplinary team termlong project closely collaborating ngo community local level field practitioner expert relevant field student expected leverage technical ingenuity mobile internet technology together social insight order address social challenge area health microfinance entrepreneurship education civic activism student technically socially viable prototype may obtain funding travel target community order obtain firsthand feedback necessary prepare technology full fledged deployment real world subject guideline limitation,"Dr. Gari Clifford, Dr. Richard Fletcher, Mr. Jhonatan Rotberg, Dr. Luis Sarmenta","medium art science, electrical engineering computer science, edgerton center","engineering, entrepreneurship, social science, electrical engineering, medium study, fine art, business, sociology, digital medium, community development, telecommunication"
12.820,Spring,2007.0,Graduate,turbulence ocean atmosphere,course present phenomenon theory modeling turbulence earth ocean atmosphere scope range centimeter planetary scale motion regime turbulence include homogeneous isotropic three dimensional turbulence convection quasigeostrophic turbulence shallow water turbulence baroclinic turbulence macroturbulence ocean atmosphere,"Prof. Raffaele Ferrari, Prof. Glenn Flierl",earth atmospheric planetary science,"engineering, science, mechanical engineering, earth science, oceanography, fluid mechanic, hydrodynamics, atmospheric science, ocean engineering, planetary science"
CMS.631,Spring,2017.0,Undergraduate,data storytelling studio climate change,course explores visualization methodology conceive represent system data eg financial medium economic political etc particular focus climate change data version course topic include basic method research cleaning analysis datasets creative method data presentation storytelling course considers emotional aesthetic ethical practical effect different presentation method well develop metric assessing impact coursework includes reading visualization exercise final project,Rahul Bhargava,"medium art science, comparative medium studieswriting","communication, social science, visual art, medium study, fine art, anthropology, ethnography, graphic design, game design"
16.886,Spring,2004.0,Graduate,air transportation system architecting,course address architecting air transportation system focus conceptual phase product definition including technical economic market environmental regulatory legal manufacturing societal factor center realistic system case study includes number lecture industry government past example include large transport aircraft supersonic business jet next generation cargo system course identifies critical system level issue analyzes depth via student team project individual assignment overall goal semester produce business plan system specification document used ass candidate system,"Prof. John-Paul Clarke, Prof. John Hansman, Earll Murman",aeronautics astronautics,"engineering, system engineering, social science, business, urban study, operation management, aerospace engineering, transportation planning"
21L.704,Spring,2008.0,Undergraduate,study poetry 20th century irish poetry shadow w b yeats,william butler yeats occupies dominant position life work irish poet followed explore poetry consider later poet especially female poet tried come grip escape dominance seminar subject place special emphasis student involvement control ask submit one tentwelve page essay two shorter five page essay accept role leadoff person perhaps role demand choose among assigned reading session poem focus upon offer either provocative articulation poem provocative question poem confronts grapple well,Prof. John Hildebidle,literature,"humanity, literature, criticism, international literature, poetry"
24.118,Spring,2019.0,Undergraduate,paradox infinity,course present highlight technical side philosophy study cluster puzzle paradox intellectual wonder higher infinite gödels theorem discus philosophical implication,Prof. Agustín Rayo,linguistics philosophy,"humanity, mathematics, social science, philosophy, computation, game theory, metaphysics, mathematical logic"
2.830J,Spring,2008.0,Graduate,control manufacturing process sma 6303,course explores statistical modeling control manufacturing process topic include use experimental design response surface modeling understand manufacturing process physic well defect parametric yield modeling optimization various form process control including statistical process control run run adaptive control realtime feedback control covered application context include semiconductor manufacturing conventional metal polymer processing emerging micronano manufacturing process,"Prof. Duane Boning, Prof. David Hardt","mechanical engineering, electrical engineering computer science, engineering system division","engineering, mathematics, mechanical engineering, system engineering, probability statistic, nanotechnology, chemical engineering, microtechnology, process control system"
6.007,Spring,2011.0,Undergraduate,electromagnetic energy motor laser,course discus application electromagnetic equivalent quantum mechanical principle classical modern device cover energy conversion power flow macroscopic quantumscale electrical electromechanical system including electric motor generator electric circuit element quantum tunneling structure instrument study photon wave particle interaction matter optoelectronic device including solar cell display laser instructor would like thank scott bradley david friend taming shih yasuhiro shirasaki helping develop course kyle hounsell ethan koether dmitri megretski work preparing lecture note ocw publication,"Prof. Vladimir Bulovic, Dr. Yu Gu, Prof. Jeffrey H. Lang, Prof. Steven Leeb, Prof. Rajeev Ram",electrical engineering computer science,"engineering, science, physic, electronics, electrical engineering, energy, quantum mechanic, electricity, electromagnetism"
7.18,Fall,2005.0,Undergraduate,topic experimental biology,independent experimental study course designed allow student strong interest independent research fulfill project laboratory requirement biology department program context research laboratory mit research continuation previous project direction member biology department faculty course provides instruction practice written oral communication journal club discussion used help student evaluate write scientific paper,"Prof. Paul T. Matsudaira, Dr. Karen Pepper, Dr. Leslie Ann Roldan, Prof. Anthony Sinskey",biology,"science, biology"
9.916,Fall,2009.0,Graduate,special topic social animal,human social animal social demand cooperative competitive structure development brain mind course cover social development social behaviour social cognition social neuroscience human nonhuman social animal topic include altruism empathy communication theory mind aggression power group mating morality method include evolutionary biology neuroscience cognitive science social psychology anthropology,Prof. Rebecca Saxe,brain cognitive science,"science, social science, biology, cognitive science, neuroscience, psychology"
18.103,Fall,2013.0,Undergraduate,fourier analysis,course continues content covered _18100 analysis i_courses18100banalysisifall2010 roughly half subject devoted theory lebesgue integral application probability half fourier series fourier integral,Prof. David Jerison,mathematics,"mathematics, probability statistic, mathematical analysis"
12.740,Spring,2008.0,Graduate,paleoceanography,class examines tool data idea related past climate change seen marine ice core continental record recent climate change mainly past 500000 year ranging 2 million year ago emphasized quantitative tool examination paleoceanographic data introduced statistic factor analysis time series analysis simple climatology,Prof. Edward Boyle,earth atmospheric planetary science,"science, earth science, geochemistry, oceanography, climate study, geology"
2.993J,Spring,2005.0,Undergraduate,introduction numerical analysis engineering 13002j,course offered undergraduate introduces student formulation methodology technique numerical solution engineering problem topic covered include fundamental principle digital computing implication algorithm accuracy stability error propagation stability solution system linear equation including direct iterative technique root equation system equation numerical interpolation differentiation integration fundamental finitedifference solution ordinary differential equation error convergence analysis subject taught first half term subject originally offered course 13 department ocean engineering 13002j 2005 ocean engineering became part course 2 department mechanical engineering subject renumbered 2993j,Prof. Henrik Schmidt,"mechanical engineering, chemical engineering","engineering, computer science, mathematics, algorithm data structure, mathematical analysis"
14.30,Spring,2009.0,Undergraduate,introduction statistical method economics,course provide solid foundation probability statistic economist social scientist emphasize topic needed study econometrics provide basic preparation _1432 econometrics_ topic include element probability theory sampling theory statistical estimation hypothesis testing,Konrad Menzel,economics,"mathematics, probability statistic, economics, social science, econometrics"
14.461,Fall,2012.0,Graduate,advanced macroeconomics,14461 advanced course macroeconomics seek bring student research frontier course divided two section first half taught prof iván werning cover topic formulate solve optimal problem student study fiscal monetary policy among issue second half taught prof georgemarios angeletos cover recent work multiple equilibrium global game informational fiction,"Prof. George-Marios Angeletos, Prof. Iván Werning",economics,"economics, social science, macroeconomics"
15.317,Summer,2009.0,Graduate,organizational leadership change,_15317 organizational leadership change_ focus practical experience blend theory practice student reflect prior leadership experience apply lesson learned develop leadership capability course requires active participation leadership class andor activity well short deliverable throughout program,Janice Klein,sloan school management,"leadership, business, operation management"
12.472,Fall,2008.0,Graduate,building earthlike planet nebular gas ocean world,course cover examination state knowledge planetary formation beginning planetary nebula continuing accretion gas dust planetesimal planetary embryo planet also includes process planetary differentiation crust formation atmospheric degassing surface water condensation course integrated discussion compositional physical process based upon observation solar system exoplanets focus terrestrial rocky metallic planet though volatilerich body also examined,Prof. Lindy Elkins-Tanton,earth atmospheric planetary science,"science, physic, earth science, geophysics, geology, astrophysics, planetary science"
11.914,Spring,2007.0,Graduate,planning communication,threeweek module centered focal case represents second part department introduction challenge reflection action professional planning practice build concept tool 11201 11202 fall semester working team student deliver 20minute oral briefing additional 10 minute question comment last week class detailed assignment posted course schedule team brief invited guest briefees taking role decision maker dusp faculty fellow student may also attendance,"Prof. Xavier de Souza Briggs, Prof. Langley Keyes, Prof. Deborah Kobes, Prof. Susan Silberberg",urban study planning,"communication, social science, sociology, urban study, community development, urban planning"
9.12,Fall,2006.0,Undergraduate,experimental molecular neurobiology,designed student without previous experience technique cellular molecular biology class teach basic experimental technique cellular molecular neurobiology experimental approach covered include tissue culture neuronal cell line dissection culture brain cell dna manipulation synaptic protein analysis immunocytochemistry fluorescent microscopy,"Prof. Yasunori Hayashi, Prof. Carlos Lois",brain cognitive science,"science, biology, cognitive science, neurobiology, molecular biology"
24.901,Fall,2010.0,"Undergraduate, Graduate",language structure phonology,24901 designed give preliminary understanding sound system different language structured may differ course also aim provide analytical tool phonology enough allow sketch analysis entire phonological system end term nonlinguistic level course aim teach example virtue formulating precise explicit descriptive statement develop skill making evaluating argument,Prof. Michael Kenstowicz,linguistics philosophy,"humanity, linguistics, phonology"
14.01SC,Fall,2011.0,Undergraduate,principle microeconomics,_1401 principle microeconomics_ introductory undergraduate course teach fundamental microeconomics course introduces microeconomic concept analysis supply demand analysis theory firm individual behavior competition monopoly welfare economics student also introduced use microeconomic application address problem current economic policy throughout semester course core subject mit undergraduate energy study minorhttpmiteimitedueducationenergyminor institutewide program complement deep expertise obtained major broad understanding interlinked realm science technology social science relate energy associated environmental challenge course format course designed independent study includes material need understand concept covered subject material course include complete set lecture video prof jon gruber reading assignment choice two textbook one free online edition preparation lecture multiplechoice quiz ass understanding key concept session problem set solution key test ability apply concept covered lecture problem solving video provide stepbystep instruction several problem set solution collection link study provide supplemental online content full set exam including review material practice exam help prepare,Prof. Jonathan Gruber,economics,"economics, social science, microeconomics"
15.433,Spring,2003.0,Graduate,investment,focus course financial theory empirical evidence making investment decision topic include portfolio theory equilibrium model security price including capital asset pricing model arbitrage pricing theory empirical behavior security price market efficiency performance evaluation behavioral finance,Prof. Reto Gallati,sloan school management,"economics, social science, business, finance, financial economics"
6.875,Spring,2005.0,Graduate,cryptography cryptanalysis,course feature rigorous introduction modern cryptography emphasis fundamental cryptographic primitive publickey encryption digital signature pseudorandom number generation basic protocol computational complexity requirement,Prof. Silvio Micali,electrical engineering computer science,"engineering, computer science, cryptography, theory computation"
18.086,Spring,2006.0,Graduate,mathematical method engineer ii,graduatelevel course continuation mathematical method engineer 18085 topic include numerical method initialvalue problem network flow optimization,Prof. Gilbert Strang,mathematics,"engineering, mathematics, system engineering, applied mathematics, computational science engineering, linear algebra, differential equation"
18.307,Spring,2006.0,Graduate,integral equation,course emphasizes concept technique solving integral equation applied mathematics perspective material selected following topic volterra fredholm equation fredholm theory hilbertschmidt theorem wienerhopf method wienerhopf method partial differential equation hilbert problem singular integral equation cauchy type inverse scattering transform group theory example taken fluid solid mechanic acoustic quantum mechanic application,Dr. Dionisios Margetis,mathematics,"science, physic, mathematics, applied mathematics, theoretical physic, differential equation, calculus, mathematical analysis"
21A.102,Fall,2011.0,Undergraduate,ethnic national identity,introduction crosscultural study ethnic national identity examine concept social identity consider way gendered linguistic religious ethnoracial identity component interact explore history nationalism including emergence idea nationstate well ethnic conflict globalization identity politics human right,Prof. Jean Jackson,anthropology,"social science, anthropology, ethnography, cultural anthropology"
21A.231J,Spring,2006.0,Undergraduate,gender sexuality society,course seek examine people experience gender mean man woman sexuality variety historical cultural context explore gender sexuality relate category social identity difference race ethnicity economic social standing urban rural life etc one goal class learn critically ass medium popular representation gender role stereotype another gain greater sense diversity human social practice belief united state around world,Prof. Heather Paxson,"anthropology, woman gender study","social science, society, anthropology, gender study, woman study, social anthropology, cultural anthropology"
21L.019,Spring,2017.0,Undergraduate,introduction european latin american fiction great book page screen,subject serf broad introduction field european latin american fiction designed help student acquire general understanding major fictional mode pay attention literary movement work represent also subtle interplay history geography language cultural norm gave rise specific literary form book read course compelling film version five work read give variety course time think interplay film print,Prof. Margery Resnick,literature,"humanity, literature, fiction, international literature, comparative literature, creative writing"
21L.430,Fall,2015.0,Undergraduate,popular culture narrative use abuse fairy tale,course take deep look big subject ask fairy tale come examine structure fairy tale well also look fairy tale conditioned oral transmission inherited storytelling technique,Dr. William Donaldson,"literature, comparative medium studieswriting","humanity, literature, fiction, international literature"
21L.501,Spring,2013.0,Undergraduate,american novel stranger stranger,course cover work major american novelist beginning late 18th century concluding contemporary novelist class place major emphasis reading novel literary text attention paid historical intellectual political context well syllabus varies term term many following writer represented rowson hawthorne melville twain wharton james toni morrison previously taught topic include american revolution makeover ie adaptation reinterpretation novel traditionally considered american classic may repeated credit instructor permission long content differs,Dr. Wyn Kelley,literature,"humanity, literature, classic, american literature"
22.106,Spring,2010.0,Graduate,neutron interaction application,course intended introduce student concept method transport theory needed neutron science application course foundational study effect multiple interaction neutron distribution application problem across nuclear engineering department stochastic deterministic simulation technique introduced student,Prof. Benoit Forget,nuclear science engineering,"engineering, science, chemistry, transport process, nuclear engineering, chemical engineering, physical chemistry"
